,Summary,Temperature (C),Apparent Temperature (C),Humidity,Pressure (millibars)
4,Mostly Cloudy,8.755555555555553,6.977777777777779,0.83,1016.51
5,Partly Cloudy,9.22222222222222,7.11111111111111,0.85,1016.66
12,Partly Cloudy,17.800000000000004,17.800000000000004,0.55,1017.59
14,Partly Cloudy,18.87777777777778,18.87777777777778,0.47,1017.17
18,Mostly Cloudy,14.255555555555553,14.255555555555553,0.69,1015.82
27,Partly Cloudy,7.155555555555556,5.044444444444443,0.79,1014.47
28,Partly Cloudy,6.111111111111111,4.816666666666667,0.82,1014.45
30,Mostly Cloudy,7.26111111111111,5.155555555555556,0.85,1014.52
31,Mostly Cloudy,7.799999999999999,5.52777777777778,0.83,1014.16
33,Mostly Cloudy,12.22222222222222,12.22222222222222,0.72,1014.25
34,Mostly Cloudy,15.094444444444449,15.094444444444449,0.61,1013.96
35,Mostly Cloudy,17.355555555555558,17.355555555555558,0.52,1013.85
37,Mostly Cloudy,20.04444444444444,20.04444444444444,0.4,1012.22
38,Mostly Cloudy,21.05,21.05,0.4,1011.44
40,Mostly Cloudy,20.11666666666666,20.11666666666666,0.4,1009.83
44,Mostly Cloudy,16.06111111111111,16.06111111111111,0.53,1008.11
47,Overcast,14.255555555555553,14.255555555555553,0.59,1007.89
50,Overcast,8.633333333333333,5.466666666666669,0.87,1005.1
51,Overcast,11.25,11.25,0.83,1007.01
52,Overcast,11.183333333333334,11.183333333333334,0.89,1006.73
60,Mostly Cloudy,17.516666666666666,17.516666666666666,0.67,1005.64
63,Mostly Cloudy,17.205555555555556,17.205555555555556,0.74,1004.65
65,Overcast,13.577777777777776,13.577777777777776,0.9,1004.08
69,Overcast,8.199999999999998,4.605555555555555,0.96,1004.96
70,Overcast,7.688888888888891,3.722222222222224,0.96,1005.14
71,Overcast,7.766666666666664,4.649999999999999,0.96,1005.05
75,Overcast,7.644444444444442,5.038888888888889,0.93,1004.3
78,Overcast,6.0888888888888895,1.6499999999999997,0.93,1003.57
82,Overcast,7.205555555555555,3.2333333333333334,0.86,1004.18
86,Mostly Cloudy,9.888888888888888,6.55,0.71,1004.29
88,Overcast,10.116666666666667,10.116666666666667,0.76,1004.0
90,Overcast,10.65,10.65,0.7,1004.0
91,Overcast,10.050000000000002,10.050000000000002,0.7,1004.39
92,Mostly Cloudy,9.9,7.716666666666667,0.66,1005.48
93,Overcast,8.794444444444444,6.816666666666668,0.71,1005.89
94,Mostly Cloudy,7.827777777777779,5.405555555555554,0.72,1006.37
95,Overcast,7.855555555555556,6.122222222222224,0.72,1006.56
99,Overcast,7.200000000000001,4.549999999999999,0.76,1007.28
101,Overcast,6.211111111111111,2.694444444444445,0.73,1007.39
102,Overcast,6.111111111111111,2.7999999999999994,0.76,1007.67
103,Overcast,6.111111111111111,2.438888888888889,0.76,1007.98
104,Overcast,6.172222222222222,2.922222222222221,0.76,1008.57
105,Overcast,7.222222222222222,3.8333333333333326,0.71,1008.87
106,Overcast,7.288888888888888,4.2444444444444445,0.73,1009.44
108,Overcast,7.96111111111111,6.072222222222222,0.7,1010.22
110,Overcast,9.07777777777778,9.07777777777778,0.65,1010.24
113,Overcast,9.183333333333334,9.183333333333334,0.65,1010.05
114,Overcast,9.07222222222222,7.455555555555557,0.7,1010.1
115,Overcast,7.983333333333332,6.81111111111111,0.75,1010.39
116,Overcast,8.072222222222223,6.433333333333333,0.75,1010.91
118,Overcast,7.311111111111109,4.8055555555555545,0.83,1011.61
119,Mostly Cloudy,7.33888888888889,5.183333333333333,0.84,1011.97
120,Mostly Cloudy,6.622222222222224,4.111111111111111,0.85,1012.22
127,Overcast,6.255555555555555,4.638888888888889,0.92,1013.81
129,Mostly Cloudy,10.050000000000002,10.050000000000002,0.76,1014.67
130,Mostly Cloudy,12.2,12.2,0.66,1014.66
133,Partly Cloudy,15.094444444444449,15.094444444444449,0.59,1014.16
137,Partly Cloudy,16.29444444444444,16.29444444444444,0.5,1012.38
142,Mostly Cloudy,12.15,12.15,0.72,1014.89
144,Mostly Cloudy,10.444444444444445,10.444444444444445,0.83,1014.75
145,Mostly Cloudy,9.822222222222225,9.466666666666663,0.8,1015.55
147,Mostly Cloudy,7.138888888888889,7.138888888888889,0.93,1016.43
